,htid,title,author,title_htrc,date,pub_date_htrc
649,,The Native Star,"Hobson, M. K.",,2010,
650,,Who Fears Death,"Okorafor, Nnedi",,2010,
651,,A Dance with Dragons,"Martin, George R. R.",,2011,
652,,Among Others,"Walton, Jo",,2011,
653,,Deadline,"Grant, Mira","Grants to plan for regional educational laboratories : application deadline, September 26, 1984",2011,1984
654,None,Embassytown,"Mieville, China",,2011,
655,,Firebird,"McDevitt, Jack",,2011,
656,,God's War,"Hurley, Kameron",,2011,
657,,Leviathan Wakes,"Corey, James S. A.",,2011,
658,,Mechanique: a Tale of the Circus Tresaulti,"Valentine, Genevieve",,2011,
659,,The Kingdom of Gods,"Jemisin, N. K.",,2011,
660,,2312,"Robinson, Kim Stanley",,2012,
661,,Blackout,"Grant, Mira",,2012,
662,,Captain Vorpatril's Alliance,"Bujold, Lois McMaster",,2012,
663,None,Glamour in Glass,"Kowal, Mary Robinette",,2012,
664,,Ironskin,"Connolly, Tina",,2012,
665,,Redshirts,"Scalzi, John",,2012,
666,,The Drowning Girl,"Kiernan, Caitln R.",,2012,
667,,The Killing Moon,"Jemisin, N. K.",,2012,
668,,Throne of the Crescent Moon,"Ahmed, Saladin",,2012,
669,,A Stranger in Olondria,"Samatar, Sofia",,2013,
670,,Ancillary Justice,"Leckie, Ann",,2013,
671,,Fire with Fire,"Gannon, Charles E.",,2013,
672,,Hild,"Griffith, Nicola",,2013,
673,,Neptune's Brood,"Stross, Charles",,2013,
674,,Parasite,"Grant, Mira","Parasitism of Comandra umbellata/(George Grant), Hedgcock, George G.",2013,1915
675,,The Golem and the Jinni,"Wecker, Helene",,2013,
676,,The Ocean at the End of the Lane,"Gaiman, Neil",,2013,
677,,The Red: First Light,"Nagata, Linda",,2013,
678,,The Wheel of Time,"Jordan, Robert, Sanderson, Brandon",,2013,
679,,Warbound,"Correia, Larry",,2013,
680,,We Are All Completely Beside Ourselves,"Fowler, Karen Joy",,2013,
681,,Ancillary Sword,"Leckie, Ann",,2014,
682,None,Annihilation,"VanderMeer, Jeff",,2014,
683,None,Coming Home,"McDevitt, Jack",,2014,
684,,Skin Game,"Butcher, Jim",,2014,
685,,The Dark Between the Stars,"Anderson, Kevin J.",,2014,
686,,The Goblin Emperor,"Addison, Katherine",,2014,
687,,The Three-Body Problem,"Liu, Cixin, Liu, Ken",,2014,
688,,Trial by Fire,"Gannon, Charles E.",,2014,
689,,Ancillary Mercy,"Leckie, Ann",,2015,
690,,Barsk: The Elephants' Graveyard,"Schoen, Lawrence M.",,2015,
691,,Raising Caine,"Gannon, Charles E.",,2015,
692,,Seveneves,"Stephenson, Neal",,2015,
693,,The Cinder Spires: The Aeronaut's Windlass,"Butcher, Jim",,2015,
694,,The Fifth Season,"Jemisin, N. K.",,2015,
695,,The Grace of Kings,"Liu, Ken",,2015,
696,,Updraft,"Wilde, Fran",,2015,
697,,Uprooted,"Novik, Naomi",,2015,
698,,A Closed and Common Orbit,"Chambers, Becky",,2016,
699,,All the Birds in the Sky,"Anders, Charlie Jane",,2016,
700,,Borderline,"Baker, Mishell",,2016,
701,,Death's End,"(Chinese)[e], Cixin Liu, (translator)[e], Ken Liu",,2016,
702,,Everfair,"Shawl, Nisi",,2016,
703,None,Ninefox Gambit,"Lee, Yoon Ha",,2016,
704,,The Obelisk Gate,"Jemisin, N. K.",,2016,
705,,Too Like the Lightning,"Palmer, Ada",,2016,
706,,Amberlough,"Donnelly, Lara Elena",,2017,
707,,Autonomous,"Newitz, Annalee",,2017,
708,,Jade City,"Lee, Fonda",,2017,
709,,New York 2140,"Robinson, Kim Stanley",,2017,
710,,Provenance,"Leckie, Ann",,2017,
711,,Raven Stratagem,"Lee, Yoon Ha",,2017,
712,,Six Wakes,"Lafferty, Mur",,2017,
713,,Spoonbenders,"Gregory, Daryl",,2017,
714,,The Collapsing Empire,"Scalzi, John",,2017,
715,,The Stone Sky,"Jemisin, N. K.",,2017,
716,,The Strange Case of the Alchemist's Daughter,"Goss, Theodora",,2017,
717,,Blackfish City,"Miller, Sam J.",,2018,
718,,Record of a Spaceborn Few,"Chambers, Becky",,2018,
719,,Revenant Gun,"Lee, Yoon Ha",,2018,
720,,Space Opera,"Valente, Catherynne M.",,2018,
721,,Spinning Silver,"Novik, Naomi",,2018,
722,,The Calculating Stars,"Kowal, Mary Robinette",,2018,
723,None,The Poppy War,"Kuang, R. F.",,2018,
724,,Trail of Lightning,"Roanhorse, Rebecca",,2018,
725,,Witchmark,"Polk, C. L.",,2018,
